iter	Passed	Remaining
530	1381	1220
531	1384	1218
532	1387	1215
533	1389	1212
534	1391	1209
535	1394	1206
536	1396	1203
537	1400	1202
538	1403	1200
539	1405	1197
540	1407	1194
541	1410	1191
542	1412	1188
543	1414	1186
544	1417	1183
545	1422	1182
546	1427	1181
547	1430	1179
548	1433	1177
549	1435	1174
550	1437	1171
551	1440	1168
552	1442	1165
553	1444	1162
554	1446	1159
555	1448	1156
556	1450	1153
557	1452	1150
558	1454	1147
559	1457	1145
560	1459	1142
561	1462	1139
562	1465	1137
563	1469	1136
564	1474	1135
565	1477	1132
566	1479	1130
567	1482	1127
568	1484	1124
569	1487	1121
570	1489	1118
571	1491	1115
572	1493	1112
573	1495	1109
574	1498	1107
575	1500	1104
576	1503	1101
577	1504	1098
578	1505	1094
579	1508	1092
580	1512	1090
581	1515	1088
582	1518	1086
583	1521	1083
584	1523	1080
585	1526	1078
586	1529	1075
587	1531	1072
588	1533	1069
589	1535	1067
590	1537	1064
591	1539	1061
592	1541	1058
593	1544	1055
594	1546	1052
595	1548	1049
596	1550	1046
597	1553	1044
598	1556	1042
599	1559	1039
600	1561	1036
601	1564	1034
602	1565	1030
603	1567	1027
604	1569	1024
605	1575	1024
606	1579	1022
607	1581	1019
608	1583	1016
609	1585	1013
610	1588	1011
611	1590	1008
612	1592	1005
613	1595	1002
614	1600	1002
615	1604	1000
616	1606	997
617	1625	1004
618	1627	1001
619	1629	998
620	1631	995
621	1633	992
622	1636	990
623	1638	987
624	1641	984
625	1644	982
626	1647	979
627	1652	978
628	1655	976
629	1658	974
630	1660	971
631	1663	968
632	1666	965
633	1668	963
634	1671	960
635	1673	957
636	1675	954
637	1677	951
638	1679	948
639	1682	946
640	1684	943
641	1687	941
642	1691	939
643	1695	937
644	1698	934
645	1702	932
646	1705	930
647	1707	927
648	1709	924
649	1712	921
650	1714	919
651	1716	916
652	1718	913
653	1720	910
654	1721	906
655	1723	903
656	1726	901
657	1728	898
658	1730	895
659	1734	893
660	1738	891
661	1742	889
662	1745	887
663	1747	884
664	1749	881
665	1751	878
666	1756	876
667	1762	875
668	1764	873
669	1766	870
670	1768	867
671	1771	864
672	1773	861
673	1775	858
674	1778	856
675	1784	855
676	1786	852
677	1789	849
678	1791	847
679	1793	844
680	1795	841
681	1797	837
682	1799	835
683	1801	832
684	1803	829
685	1805	826
686	1808	823
687	1809	820
688	1811	817
689	1814	815
690	1816	812
691	1818	809
692	1820	806
693	1823	803
694	1828	802
695	1833	800
696	1835	798
697	1839	795
698	1841	793
699	1843	790
700	1845	787
701	1847	784
702	1849	781
703	1851	778
704	1853	775
705	1855	772
706	1857	769
707	1859	766
708	1861	764
709	1864	761
710	1866	758
711	1874	758
712	1881	757
713	1884	754
714	1887	752
715	1889	749
716	1891	746
717	1893	743
718	1895	740
719	1898	738
720	1900	735
721	1902	732
722	1904	729
723	1906	726
724	1908	723
725	1910	721
726	1912	718
727	1915	715
728	1919	713
729	1923	711
730	1925	708
731	1927	705
732	1930	703
733	1932	700
734	1934	697
735	1937	695
736	1941	692
737	1943	689
738	1945	687
739	1948	684
740	1950	681
741	1952	678
742	1955	676
743	1957	673
744	1958	670
745	1961	667
746	1964	665
747	1968	663
748	1971	660
749	1973	657
750	1976	655
751	1978	652
752	1980	649
753	1982	646
754	1985	644
755	1987	641
756	1989	638
757	1991	635
758	1993	632
759	1995	630
760	1998	627
761	2000	624
762	2004	622
763	2008	620
764	2020	620
765	2024	618
766	2027	616
767	2030	613
768	2032	610
769	2034	607
770	2036	604
771	2038	602
772	2040	599
773	2043	596
774	2045	593
775	2047	591
776	2049	588
777	2051	585
778	2053	582
779	2057	580
780	2059	577
781	2061	574
782	2063	571
783	2069	570
784	2082	570
785	2084	567
786	2086	564
787	2088	562
788	2090	559
789	2092	556
790	2094	553
791	2096	550
792	2098	547
793	2100	545
794	2102	542
795	2105	539
796	2107	536
797	2110	534
798	2122	533
799	2126	531
800	2128	528
801	2131	526
802	2134	523
803	2136	520
804	2139	518
805	2141	515
806	2143	512
807	2145	509
808	2147	507
809	2149	504
810	2151	501
811	2153	498
812	2156	495
813	2160	493
814	2167	491
815	2172	489
816	2175	487
817	2178	484
818	2181	482
819	2183	479
820	2185	476
821	2187	473
822	2189	470
823	2192	468
824	2194	465
825	2196	462
826	2198	459
827	2199	456
828	2201	454
829	2204	451
830	2206	448
831	2208	446
832	2211	443
833	2215	440
834	2219	438
835	2222	436
836	2231	434
837	2234	431
838	2236	429
839	2238	426
840	2240	423
841	2242	420
842	2244	418
843	2246	415
844	2249	412
845	2251	409
846	2254	407
847	2257	404
848	2260	402
849	2264	399
850	2267	396
851	2270	394
852	2272	391
853	2274	388
854	2276	386
855	2279	383
856	2281	380
857	2283	377
858	2285	375
859	2286	372
860	2288	369
861	2291	366
862	2297	364
863	2300	362
864	2304	359
865	2308	357
866	2311	354
867	2313	351
868	2315	349
869	2318	346
870	2320	343
871	2322	340
872	2325	338
873	2327	335
874	2330	332
875	2332	330
876	2334	327
877	2336	324
878	2338	321
879	2340	319
880	2343	316
881	2350	314
882	2357	312
883	2360	309
884	2363	307
885	2366	304
886	2368	301
887	2370	299
888	2372	296
889	2374	293
890	2376	290
891	2378	288
892	2381	285
893	2383	282
894	2385	279
895	2388	277
896	2392	274
897	2394	272
898	2398	269
899	2402	266
900	2406	264
901	2408	261
902	2410	258
903	2412	256
904	2415	253
905	2417	250
906	2419	248
907	2421	245
908	2423	242
909	2425	239
910	2428	237
911	2430	234
912	2432	231
913	2435	229
914	2439	226
915	2443	224
916	2447	221
917	2449	218
918	2451	216
919	2453	213
920	2454	210
921	2456	207
922	2459	205
923	2461	202
924	2464	199
925	2466	197
926	2467	194
927	2469	191
928	2471	188
929	2473	186
930	2474	183
931	2476	180
932	2479	178
933	2484	175
934	2489	173
935	2491	170
936	2494	167
937	2496	165
938	2498	162
939	2499	159
940	2501	156
941	2503	154
942	2506	151
943	2508	148
944	2509	146
945	2511	143
946	2513	140
947	2515	137
948	2517	135
949	2519	132
950	2521	129
951	2522	127
952	2525	124
953	2533	122
954	2538	119
955	2545	117
956	2549	114
957	2551	111
958	2553	109
959	2557	106
960	2559	103
961	2562	101
962	2565	98
963	2566	95
964	2568	93
965	2575	90
966	2580	88
967	2583	85
968	2586	82
969	2588	80
970	2590	77
971	2592	74
972	2594	72
973	2596	69
974	2598	66
975	2600	63
976	2602	61
977	2604	58
978	2606	55
979	2607	53
980	2609	50
981	2611	47
982	2614	45
983	2618	42
984	2621	39
985	2623	37
986	2626	34
987	2627	31
988	2629	29
989	2631	26
990	2633	23
991	2637	21
992	2639	18
993	2642	15
994	2645	13
995	2646	10
996	2648	7
997	2650	5
998	2652	2
999	2654	0
